nohut chickpea
zafer victory
kitap book
abakus abacus
eylul september
jelatin gelatin
hostes stewardess
zeytin olive
hedef target
isi heat
mide stomach
yudum sip
pabuc shoe
muamele treatment
sicil register
zor difficult
los gloomy
cikar dismiss
bitki plant
japon japanese
ihanet treachery
kubbe dome
yaz summer
sube branch
zulum wrong
numara number
radyo radio
uyanik awake
ordek duck
gizlilik secrecy
fonograf phonograph
uzum grape
uvey step
vahset wildness
soba stove
poligon polygon
tacir merchant
eczane drugstore
ihlamur lime
zehir poison
umut hope
doga nature
oylama voting
roket rocket
araci intermediary
bilgisayar computer
termos thermos
ascibasi chef
simarik spoiled
cicek flower
nabiz pulse
orak sickle
sikayet complaint
kum sand
sebeb cause
buz ice
uretim production
tir banister
fabrika factory
utanc shame
izafiyet relativity
gider expense
yemek food
omur life
pinar spring
mucit inventor
avantaj advantage
diger other
judo judo
fulya jonquil
olu dead
korku fear
pil battery
irgat labourer
nida shout
sah shah
gezegen planet
lider leader
belge document
silindir cylinder
guatr goitre
icat invention
uranyum uranium
hobi hobby
vizilti buzz
ulasmak reach
ehemmiyet importance
dublaj dubbing
olagan usual
pelikan pelican
ozdes same
korsan pirate
ada island
tokat slap
unite unity
tebesir chalk
tumlesik combinatorial
recel jam
vurgu stress
veli guardian
